station_id,latitude,longitude,name,observation_time,temperature,temperature_high,temperature_low,humidity,solar_radiation,solar_radiation_high,rain,rain_inches_last_hour,wind_speed_mph,wind_direction_degrees,wind_gust_speed_mph,wind_gust_direction_degrees,pressure,soil_temp_1,soil_temp_2,soil_temp_3,soil_temp_4,soil_moist_1,soil_moist_2,soil_moist_3,soil_moist_4
126,40.340878755701,-86.448629733214,Michigantown,2021-02-23T23:30:00Z,40,41,40,74,,32767,0,0,1,225,3,225,29.948,32,32,33,34,17,23,23,29
127,40.205870972338,-86.43750661243,Frankfort,2021-02-23T23:30:00Z,42,42,42,78,,32767,0,0,4,270,6,270,30.253,33,33,34,34,20,10,10,12
128,40.188545760886,-86.53613814343,Frankfort,2021-02-23T23:30:00Z,42,45,42,76,,32767,0,0,0,,0,,29.951,32,32,33,34,12,11,10,9
129,40.260897506112,-86.534023221621,Frankfort,2021-02-23T23:30:00Z,40,40,40,83,,32767,0,0,2,202.5,4,202.5,29.944,33,34,35,39,0,8,7,7
130,40.39791478179,-86.553685154805,Rossville,2021-02-23T23:45:00Z,38,40,38,82,,32767,0,0,0,,0,,29.808,32,32,32,33,52,22,14,12
133,40.627847815921,-87.168467577586,Fowler,2021-02-23T23:45:00Z,37,38,37,86,,32767,0,0,2,202.5,4,202.5,29.897,33,32,32,33,18,36,36,20
134,40.492173375187,-87.526147399925,Ambia,2021-02-23T23:45:00Z,39,39,39,87,,32767,0,0,3,0,5,0,29.893,33,33,34,35,22,24,16,15
135,40.5836131409006,-86.2655972476769,Galveston,2021-02-23T23:45:00Z,37,37,36,80,,32767,0,0,3,0,6,0,29.968,32,32,32,34,102,22,14,17
136,40.672542394534,-86.956107702145,Chalmers,2021-02-23T23:30:00Z,34,34,34,89,,32767,0,0,5,202.5,7,202.5,29.872,32,33,33,34,11,8,9,13
137,40.634109260881,-86.958647754083,Chalmers,2021-02-23T23:45:00Z,38,38,37,87,,32767,0,0,4,202.5,7,180,30.079,33,33,34,35,8,12,10,8
141,40.38155,-86.82454,Lafayette,2021-02-23T23:45:00Z,43,44,43,74,,32767,0,0,2,270,3,270,29.982,32,36,39,32,13,90,10,6
142,40.10483,-86.86619,WHIN052-MONT004,2021-02-23T23:45:00Z,45,45,44,71,3,7,0,0,3,225,5,247.5,29.149,32,33,34,36,5,7,3,2
143,40.98224,-86.38542,WHIN053-PULA005,2021-02-23T23:45:00Z,37,37,37,82,2,7,0,0,8,202.5,10,202.5,29.179,32,33,34,35,5,5,14,8
144,40.53722,-86.95342,WHIN054-WHIT007,2021-02-23T23:45:00Z,38,40,38,77,2,7,0,0,2,225,4,225,29.197,33,98,35,36,3,0,1,1
145,40.58629,-87.43654,WHIN055-BENT006,2021-02-23T23:45:00Z,41,42,41,75,4,9,0,0,6,225,8,225,29.087,33,34,35,35,4,5,2,3
146,40.43134,-86.53464,WHIN056-CLIN004,2021-02-23T23:45:00Z,38,40,37,77,2,7,0,0,6,202.5,7,180,29.18,32,33,34,34,4,5,5,2
147,41.01865,-86.7101,WHIN057-PULA006,2021-02-23T23:45:00Z,36,38,36,80,2,7,0,0,3,225,5,225,29.226,33,34,35,35,3,3,4,6
149,40.59057,-86.39155,WHIN062-CARR009,2021-02-23T23:45:00Z,39,40,39,76,1,5,0,0,3,180,4,180,29.22,32,32,34,35,4,5,4,5
150,41.00467,-86.68428,WHIN058-PULA007,2021-02-23T23:45:00Z,37,38,37,82,3,7,0,0,5,225,8,225,29.241,32,33,33,33,4,6,7,7
151,40.84436,-86.18173,WHIN059-CASS006,2021-02-23T23:45:00Z,39,40,39,76,2,7,0,0,6,202.5,8,225,29.123,32,32,32,32,2,191,12,14
153,40.38539,-87.51034,WHIN061-WARR006,2021-02-23T23:45:00Z,40,42,40,83,4,9,0,0,3,157.5,5,157.5,29.179,32,33,34,35,5,5,2,19
154,40.37382,-86.31443,WHIN063-CLIN005,2021-02-23T23:45:00Z,39,39,38,79,2,7,0,0,3,180,5,157.5,29.031,32,32,34,35,7,12,8,7
155,40.70178,-86.70649,WHIN064-CARR010,2021-02-23T23:45:00Z,39,40,39,80,2,7,0,0,5,202.5,6,202.5,29.261,32,32,33,34,146,87,56,53
156,40.51432,-86.45856,WHIN065-CARR011,2021-02-23T23:45:00Z,40,41,39,77,2,7,0,0,5,202.5,7,202.5,29.187,32,32,33,35,22,15,16,9
157,40.5485,-87.12477,WHIN066-BENT006 EXT,2021-02-23T23:45:00Z,39,39,37,84,2,7,0,0,5,180,7,180,29.188,32,32,33,34,53,7,8,9
158,41.02811,-86.89036,WHIN067-PULA008 West Central,2021-02-23T23:45:00Z,34,34,34,86,2,7,0,0,6,202.5,7,202.5,29.25,32,33,34,35,4,8,5,13
159,40.78049,-86.89576,WHIN068-WHIT008,2021-02-23T23:45:00Z,36,37,36,81,4,9,0,0,4,202.5,7,202.5,29.216,34,34,35,36,7,13,16,24
160,40.97061,-86.35304,WHIN069-CASS007,2021-02-23T23:45:00Z,37,37,37,83,3,9,0,0,7,225,9,225,29.141,32,32,32,34,98,173,36,31
162,40.38422,-87.31635,WHIN070-WARR007,2021-02-23T23:45:00Z,44,46,44,69,4,9,0,0,1,135,3,135,29.277,33,34,35,35,5,5,5,4
163,40.16179,-87.35246,WHIN072-FOUN005,2021-02-23T23:45:00Z,45,45,42,72,5,11,0,0,6,180,7,180,28.951,32,33,33,35,6,3,5,2
164,40.37634,-86.59591,WHIN073-CLIN006,2021-02-23T23:45:00Z,41,42,41,76,1,5,0,0,4,180,6,180,29.109,32,32,34,34,14,5,4,5
166,40.42124,-86.84642,Five Star Residence,2021-02-23T23:45:00Z,46,47,46,67,2,7,0,0,1,157.5,4,202.5,29.234,35,35,36,37,3,3,1,2
167,40.38116,-86.40269,WHIN075-CLIN007,2021-02-23T23:45:00Z,39,40,39,76,2,7,0,0,5,225,6,225,29.049,32,33,34,35,4,5,4,4
168,40.48079,-87.20682,WHIN051E-BENT005,2021-02-23T23:30:00Z,45,45,44,72,9,12,0,0,1,247.5,2,247.5,29.805,,,,,,,,
