id,name,latitude,longitude
71,Reynolds,40.825688147858,-86.849015142808
72,Monon,40.904425608109,-86.83524199951599
73,Reynolds,40.826201643016,-86.95772775639
74,Reynolds,40.761498387845,-86.929607477078
75,Chalmers,40.689715884521,-86.90624007214001
76,Wolcott,40.673137428347,-87.021874126086
77,Wolcott,40.743363918494,-87.04956659305998
78,Logansport,40.695819004777,-86.365903701672
79,Royal Center,40.897101287086,-86.516266233132
80,Raub,40.723124686434005,-87.463007655034
81,Fowler,40.69341,-87.25839
82,Fowler,40.607149930187,-87.403966870198
83,Earl Park,40.661281522936,-87.467932190785
84,Remington,40.667348591908,-87.13488229740602
85,Goodland,40.737780350917,-87.219055380711
86,Bringhurst,40.51346,-86.52579
87,Delphi,40.631165884916,-86.66727134216801
88,Idaville,40.702728827287004,-86.63010128964001
89,Yoeman,40.688775250626,-86.73664265502502
90,Deer Creek,40.628254949825,-86.375591840634
91,Clymers,40.684705457803,-86.46785983074602
92,Deer Creek,40.623731552761996,-86.447208162437
93,Wheeling,40.552261168203,-86.439149465451
94,Cutler,40.46321577834,-86.543915208468
95,Flora,40.536406879934,-86.551531340966
96,Camden,40.624650710675,-86.52350359786502
97,Delphi,40.472147655595,-86.65287378885702
98,Boswell,40.411898456955,-87.386021550784
99,Hillsboro,40.00725,-87.10279
100,Mellott,40.164184845858,-87.12982901562202
101,Hillsboro,40.055670368475,-87.158613686346
102,Darlington,40.087450422238,-86.729214277158
103,Linden,40.145992995189,-86.847446050534
104,Crawfordsville,40.018465743367,-86.940767352365
105,North Salem,39.892396737007,-86.72275551785
106,New Ross,39.984196851005,-86.740364220033
107,Ladoga,39.951499548459,-86.80384406078802
108,Roachdale,39.870691447378,-86.82660796869698
109,Parkersburg,39.898631967888996,-86.89331182468901
110,Crawfordsville,39.929524000647994,-86.89632126320299
111,Crawfordsville,39.94515,-86.98748
112,Waveland,39.883063409148,-87.011170771012
113,Boyleston,40.280841843379996,-86.378520812878
114,Michigantown,40.33221,-86.38949000000002
115,Frankfort,40.19144,-86.50895
116,Frankfort,40.257054493633,-86.45500132072901
117,Frankfort,40.33982,-86.5305
118,Frankfort,40.224598690524004,-86.55297034610201
119,Forest,40.357423058538,-86.325579371343
120,Forest,40.33095,-86.26613
121,Kempton,40.271915660736,-86.246169891248
122,Kirklin,40.187308149575,-86.34427839149002
123,Hillisburg,40.256952146774005,-86.352927174458
124,Middlefork,40.409452825492004,-86.3601101302
125,Middlefork,40.409608704153,-86.435486944402
126,Michigantown,40.340878755701,-86.44862973321398
127,Frankfort,40.205870972338,-86.43750661243
128,Frankfort,40.188545760886,-86.53613814343002
129,Frankfort,40.260897506112,-86.534023221621
130,Rossville,40.39791478179001,-86.553685154805
131,Frankfort,40.261357015496,-86.659272994885
132,Colfax,40.182258925843,-86.648022469172
28,WHIN028-PUL003 West Central HS,41.02719,-86.887
39,WHIN039-WHIT004 Frontier HS,40.66711,-86.86156
40,WHIN040-WHIT005 Tri-County HS,40.73415,-87.08579
32,WHIN032-FOUN004 EXT,40.118,-87.28628
33,WHIN033-PUL003 EXT,41.05992,-86.65639
34,WHIN034-WARR003 EXT,40.4492,-87.24212
45,WHIN045-CARR003,40.57594,-86.42681
46,WHIN046-CARR004,40.62386,-86.56296999999998
47,WHIN047-CARR005,40.62344,-86.49658000000002
48,WHIN048-CARR006,40.61944,-86.43236
49,WHIN049-CARR007,40.64308,-86.42975
50,WHIN050-CARR008,40.57311,-86.53475
1,WHIN001-PULA001,40.93894,-86.47418
3,WHIN003-WHIT001,40.73083,-86.98467
4,WHIN004-MONT001,40.04188,-86.76929
5,WHIN005-CASS001,40.89261,-86.23791
6,WHIN006-PULA002,41.03067,-86.75275
7,WHIN007-CASS002,40.69305,-86.21365
9,WHIN009-WARR001,40.30161,-87.48241
10,WHIN010-TIPP001,40.48022,-87.04583000000002
11,WHIN011-BENT002,40.57884,-87.3521
14,WHIN014-CARR001,40.57623,-86.48683
15,WHIN015-CLIN001,40.3957718198213,-86.4685804227539
16,WHIN016-CLIN002,40.2257496441512,-86.2803918016052
17,WHIN017-WHIT002,40.6385,-86.84135
18,WHIN018-BENT003,40.64988,-87.47267
19,WHIN019-CASS003,40.649157178287,-86.33540470737921
21,WHIN021-MONT002,40.148841850381,-86.7336049126892
24,WHIN024-FOUN002,39.99672,-87.25761
29,WHIN029-FOUN003,39.61978,-87.04714
8,WHIN008-TIPP005 Chatham Square,40.42919000000001,-86.84546999999998
12,WHIN012-WARR002,40.38611,-87.10128
13,WHIN013-TIPP002,40.521630026251295,-87.02011077724609
22,WHIN022-CLIN003 EXT,40.24847000000001,-86.59035
23,WHIN023-WHIT003 EXT,40.75144,-86.86746
25,WHIN025-MONT003 EXT,40.04481,-86.89126
26,WHIN026-BENT004 EXT,40.54842,-87.12283000000002
27,WHIN027-TIPP003 EXT,40.38494,-86.84577
30,WHIN030-CARR009 EXT,40.54726,-86.52444
31,WHIN031-CASS005 EXT,40.78383,-86.33381
35,WHIN035-CASS004 Ivy Tech,40.73612,-86.35604000000002
36,WHIN036-TIPP004,40.29861,-86.90033000000003
38,WHIN038-WARR004,40.29858,-87.38646999999997
41,WHIN041-TIPP006 Cumberland Gardens,40.46325,-86.91866999999998
42,WHIN042-CARR002,40.54233,-86.4815
